compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites,year_clean
Naratriptan,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,AMKVXSZCKVJAGH-UHFFFAOYSA-N,4440,OK,28,"A superior structural evolution compared to the phenyl-sulfone analog. By replacing the distal phenyl ring with a methyl-sulfonamide, this molecule significantly improves Lipophilic Efficiency (LipE). The cLogP is kept in the CNS Goldilocks zone (approx 1.5-2.0), and the removal of the distal aromatic ring reduces the hERG liability (breaking the pharmacophore). The piperidine headgroup is standard. This represents a pragmatic balance of potency and developability. Tox Summary: Clean.",High,None significant; Sulfonamide is stable.,0.75,Cleaner safety profile expected due to lower lipophilicity and reduced hERG risk.,0.45,Good ADME properties suggest reliable target engagement.,0.2,Strong candidate for chronic use if selectivity is maintained.,0.8,,1998.0
Almotriptan,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,2001,,,approved,CNS,,approved_control,Approved controls (success),,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,WKEMJKQOLOHJLZ-UHFFFAOYSA-N,123606,OK,30,"Structurally analogous to the previous entry but employs a cyclic sulfonamide (pyrrolidine-fused) and a dimethylamine headgroup. The cyclic sulfonamide is a clever bioisostere that may improve metabolic stability of the tail. However, the dimethylamine headgroup is a notorious hotspot for rapid N-demethylation, potentially leading to shorter half-life or active metabolites. The physicochemical properties (MW ~335, TPSA ~70) are excellent for CNS penetration. A solid, workmanlike molecule. Tox Summary: Clean.",Medium,Dimethylamine (N-demethylation risk),0.7,Standard safety risks. PK profile (half-life) is the main uncertainty.,0.4,"Likely effective, but differentiation from other class members is key.",0.15,Crowded market space for this scaffold type.,0.75,,2001.0
Frovatriptan,5-HT1B/1D agonist,5-HT1B and 5-HT$D receptors,Migraine,Approved,2001,,,approved,CNS,,approved_control,Approved controls (success),,CN[C@@H]1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N,CNCH1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N,XPSQPHWEGNHMSK-SECBINFHSA-N,77992,OK,18,"This is an elite 'Minimalist' structure. The rigid tricyclic core locks the bioactive conformation, reducing the entropic penalty of binding and likely enhancing selectivity. With a MW of ~243, the Ligand Efficiency (LE) is likely astronomical. The secondary amine and primary amide provide necessary polarity without 'molecular obesity'. This molecule exemplifies the principle that 'Small is Beautiful' in CNS drug design. The only potential downside is solubility due to the flat, rigid aromatic system (brick dust potential), but the polar handles should mitigate this. Tox Summary: Very Clean.",High,None. Rigid core protects against metabolic access.,0.85,Low toxicity risk due to low dose burden and high efficiency.,0.55,High probability of success if the target hypothesis holds.,0.3,Excellent candidate for long-term safety and compliance.,0.9,,2001.0
Ubrogepant,CGRP antagonist,CGRP receptor,Migraine,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),,C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(C[C@@]4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=CC=CC=C6,CCH1CH(CCH(C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(CC4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=CC=CC=C6,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,68748835,OK,68,"A violation of the 'Keep It Simple' principle. This molecule is a 'Molecular Brick' (MW > 550 estimated). It contains a spiro-fused azaindole system, a trifluoroethyl lactam, and multiple chiral centers. While likely extremely potent (affinity driven by hydrophobic burial), the physicochemical properties are hostile to CNS penetration. High TPSA (>100) and high MW suggest it is a P-gp substrate candidate. The synthesis looks nightmarish (COGS penalty). This represents 'brute force' medicinal chemistry—solving potency by adding mass rather than efficiency. DILI risk is elevated due to the complexity and likely high lipophilicity required to drag this brick across the BBB. Tox Summary: DILI Risk (Rule of Two).",Low,"High MW/Lipophilicity combo (DILI flag), Trifluoroethyl (potential fluoride release if metabolized, though unlikely).",0.5,DMPK attrition risk is high. Bioavailability will be the killer.,0.25,"Even if safe, achieving CNS exposure levels for efficacy will be a struggle.",0.05,Cost of goods and potential hepatic signals make this a risky commercial bet.,0.4,,2019.0
Rimegepant,CGRP antagonist,CGRP receptor,Migraine,Approved,2020,,,approved,CNS,,approved_control,Approved controls (success),,C1C[C@H](C2=C(C=CC=N2)[C@H]([C@@H]1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6,C1CCH(C2=C(C=CC=N2)CH(CH1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6,KRNAOFGYEFKHPB-ANJVHQHFSA-N,51049968,OK,48,"This molecule represents a 'Beyond Rule of 5' strategy, typical of PPI inhibitors, but it pushes the boundaries of CNS developability. While the benzimidazolone-piperidine tail provides a robust anchor, the core cycloalkane scaffold is densely functionalized. The presence of a primary amine on the ring is a double-edged sword: it likely drives potency but introduces a significant metabolic handle (deamination/conjugation) and P-gp recognition risk, potentially limiting brain penetration despite the lipophilic difluorophenyl group. The carbamate linkage adds TPSA and rotatable bond complexity. It feels 'heavy' (MW likely >500) and relies on active transport or high potency to overcome poor passive permeability. Tox Summary: Clean, but metabolic liability is high.",Medium,"Primary amine (metabolic handle), Carbamate (potential hydrolysis)",0.75,"Safety likely acceptable, but PK variability due to metabolism/efflux could be an issue.",0.35,Efficacy depends heavily on achieving sufficient CNS exposure against efflux transporters.,0.15,Commercial viability challenged by likely high dose or BID dosing requirements.,0.4,,2020.0
Atogepant,CGRP antagonist,CGRP receptor,Migraine,Approved,2021,,,approved,CNS,,approved_control,Approved controls (success),,C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(C[C@@]4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=C(C=CC(=C6F)F)F,CCH1CH(CCH(C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(CC4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=C(C=CC(=C6F)F)F,QIVUCLWGARAQIO-OLIXTKCUSA-N,72163100,OK,42,"A highly complex, spiro-cyclic architecture that attempts to freeze a bioactive conformation. The high fraction of sp3 carbons (Fsp3) and the rigid spiro-azaindoline/imidazopyridine system are positives for selectivity and solubility. However, the molecule suffers from 'Molecular Obesity'. The heavy fluorination (trifluoroethyl + trifluorophenyl = 6 fluorines) suggests a desperate attempt to block metabolism and modulate lipophilicity. While amides and lactams are stable, the sheer molecular weight and TPSA make this a borderline CNS candidate. It avoids specific toxicophores but carries a 'Complexity Tax' that will make synthesis and scale-up painful. Tox Summary: Clean.",High,None specific; high fluorine load,0.8,Metabolic blocking via fluorine likely successful; safety profile should be clean.,0.4,Good target engagement expected if BBB permeability is sufficient.,0.2,"Complex synthesis may impact COGS, but clinical profile likely competitive.",0.55,,2021.0
Lasmiditan,5-HT1F agonist,5-HT1F receptor,Migraine,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),,CN1CCC(CC1)C(=O)C2=NC(=CC=C2)NC(=O)C3=C(C=C(C=C3F)F)F,CN1CCC(CC1)C(=O)C2=NC(=CC=C2)NC(=O)C3=C(C=C(C=C3F)F)F,XEDHVZKDSYZQBF-UHFFFAOYSA-N,11610526,OK,68,"This structure triggers a significant hERG alert. It features a classic 'hERG Pharmacophore': a basic center (N-methylpiperidine) linked via a spacer (pyridine-amide) to a highly lipophilic, electron-deficient aromatic tail (2,4,6-trifluorophenyl). While the pyridine reduces the basicity slightly compared to an alkyl chain, the vector alignment places the charged nitrogen and the lipophilic 'grease' in a dangerous spatial arrangement for ion channel blockade. Furthermore, the 2,4,6-substitution pattern on the phenyl ring, while metabolically robust, creates a 'grease ball' terminus. CNS penetration will be good, but the safety margin against QT prolongation is the primary killer here. Tox Summary: Not Clean (hERG Risk).",Medium,hERG Pharmacophore (Basic amine + Lipophilic tail),0.4,High risk of QT prolongation in early safety studies.,0.15,Cardiovascular safety margins will likely limit dosing.,0.05,Regulatory hurdles regarding cardiac safety would be immense.,0.2,,2019.0
Eszopiclone,Z-drug (GABA-A modulator),"GABA_A receptor (non-selective PAM at _1_,_2_,_3_,_5_)",Insomnia,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),,CN1CCN(CC1)C(=O)O[C@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,CN1CCN(CC1)C(=O)OCH2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,GBBSUAFBMRNDJC-INIZCTEOSA-N,969472,OK,22,"A very strong CNS candidate, slightly more complex than the imidazopyridine entry but highly effective. The fused pyrrolopyrazine-dione core provides a rigid, polar scaffold that minimizes non-specific binding. The chloropyridine is a standard, safe lipophilic anchor. The N-methylpiperazine adds a basic center for solubility without excessive lipophilicity. The carbamate linkage is the only minor weak point for stability (potential hydrolysis), but in this steric environment, it is likely stable enough. The molecule balances polarity and lipophilicity well (LogP ~2.0), ensuring good bioavailability and CNS distribution. Tox Summary: Clean.",Medium,Carbamate (minor hydrolysis risk),0.85,Predictable PK and safety profile.,0.5,Good efficacy potential; half-life likely longer than the imidazopyridine analog.,0.3,Solid drug candidate with manageable risks.,0.75,,2004.0
Zaleplon,Z-drug (GABA-A modulator),GABA_A receptor (_1_-subunit selective PAM),Insomnia,Approved,1999,,,approved,CNS,,approved_control,Approved controls (success),,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,HUNXMJYCHXQEGX-UHFFFAOYSA-N,5719,OK,18,"Exemplary CNS physicochemical profile. The pyrazolo[1,5-a]pyrimidine core serves as a low-MW (<310), rigid scaffold with optimal TPSA (~75 Å²) for blood-brain barrier penetration. The nitrile group is metabolically stable on the aromatic ring and provides a distinct dipole vector. The N-ethyl acetamide side chain is a standard, low-risk motif. The molecule avoids the 'Grease Tax' entirely, suggesting high Ligand Efficiency (LE) and Lipophilic Efficiency (LipE). No structural alerts for genotoxicity or reactive metabolites. A textbook 'lead-like' starting point that likely requires minimal optimization.",High,None identified,0.85,"Clean structure, low MW, and lack of toxicophores suggest excellent safety profile in healthy volunteers.",0.65,High CNS penetration predicted; target engagement likely. Main risk is short half-life requiring frequent dosing.,0.45,Safety profile likely robust for chronic use. Dependency/abuse potential (mechanism-based) is the primary regulatory hurdle.,0.25,,1999.0
Suvorexant,Orexin receptor antagonist,OX1 and OX2 receptors,Insomnia,Approved,2014,,,approved,CNS,,approved_control,Approved controls (success),,C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl,CCH1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl,JYTNQNCOQXFQPK-MRXNPFEDSA-N,24965990,OK,45,"A 'Brick' warning is triggered. While the 1,4-diazepane core is a privileged scaffold, the flanking chlorobenzoxazole and methyl-triazole-benzoyl groups push the physicochemical properties toward the edge of the CNS MPO desirability zone. MW is approaching 500 and cLogP is likely >4.0, incurring a significant 'Grease Tax'. The 1,2,3-triazole is generally stable but can interact with heme iron (CYP inhibition risk). The molecule relies heavily on lipophilicity for affinity, which often correlates with higher non-specific binding and faster clearance via metabolism. Acceptable, but lacks the elegance of a smaller antagonist.",Medium,"Chlorobenzoxazole (potential bioactivation), Triazole (CYP inhibition risk)",0.7,"Reasonable safety, though CYP inhibition and higher lipophilicity may complicate dosing.",0.4,"Efficacy likely good, but 'hangover' effects due to slow clearance (lipophilicity) could impact endpoints.",0.2,Competitive landscape for this target class is crowded; differentiation via safety/tolerability is difficult with this lipophilic profile.,0.05,,2014.0
Lemborexant,Orexin receptor antagonist,OX1 and OX2 receptors,Insomnia,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,CC1=NC(=NC=C1OCC2(CCH2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,MUGXRYIUWFITCP-PGRDOPGGSA-N,56944144,OK,28,"Superior structural design compared to the diazepane analog. The use of a cyclopropane core to enforce a specific 3D vector ('Escape from Flatland') is high-fidelity medicinal chemistry. This rigidity likely improves selectivity and potency per atom. Fluorination on the phenyl and pyridine rings is strategically placed to block metabolic soft spots, improving the PK profile. The ether linkage is a potential oxidative liability, but steric shielding from the cyclopropane likely mitigates this. The balance of TPSA and cLogP is well-tuned for a CNS antagonist requiring overnight receptor occupancy.",High,Ether linkage (minor dealkylation risk),0.8,Clean profile with metabolic blocking groups suggests predictable PK.,0.55,Strong potency/selectivity balance. Clinical efficacy probability is high for this mechanism.,0.35,Differentiation on safety/tolerability looks promising vs competitors.,0.15,,2019.0
Ramelteon,Melatonin MT1/MT2 agonist,MT1 and MT2 receptors,Insomnia,Approved,2005,,,approved,CNS,,approved_control,Approved controls (success),,CCC(=O)NCC[C@@H]1CCC2=C1C3=C(C=C2)OCC3,CCC(=O)NCCCH1CCC2=C1C3=C(C=C2)OCC3,YLXDSYKOBKBWJQ-LBPRGKRZSA-N,208902,OK,12,"Elite CNS candidate. The tricyclic indeno-furan-like core provides a compact, rigid, and lipophilic anchor that fits perfectly within CNS MPO guidelines (MW < 300, cLogP ~2.5-3.0). The propionamide side chain mimics endogenous indole-based ligands but with improved metabolic stability over simple acetamides. The molecule is highly efficient (high LipE) and lacks any obvious toxicophores or 'garbage' atoms. The only minor concern is potential CYP1A2 susceptibility common to this scaffold class, but structurally, it is nearly flawless for brain penetration.",Medium,None (Clean),0.9,Extremely safe structural class. Phase 1 passage is almost guaranteed barring off-target surprises.,0.6,Target engagement is certain; clinical efficacy depends on the validity of the target for the specific indication.,0.5,Clean safety profile supports chronic dosing.,0.27,,2005.0
Fingolimod,S1P receptor modulator,"Sphingosine-1-phosphate receptors (S1P1, S1P3, S1P4, S1P5)",Multiple sclerosis,Approved,2010,,,approved,CNS,,approved_control,Approved controls (success),,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,KKGQTZUTZRNORY-UHFFFAOYSA-N,107970,OK,78,"CRITICAL FAILURE: Cationic Amphiphilic Drug (CAD) alert. The structure consists of a massive lipophilic tail (octyl chain + phenyl) linked to a polar, cationic head group (amino-diol). This is the definition of a detergent. While it may bind the target (S1P), the 'Grease Tax' is astronomical. High risk of Phospholipidosis (lysosomal accumulation) and non-specific membrane disruption. The long alkyl chain is a metabolic liability (omega-oxidation) and solubility nightmare. Furthermore, S1P modulators carry a mechanism-based cardiac liability (bradycardia). As an NCE, this structure would be rejected in early discovery for poor developability properties.",Low,"Long aliphatic chain (Phospholipidosis risk), Amino-diol (CAD motif)",0.3,High risk of cardiac events (bradycardia) and liver enzyme elevations due to phospholipidosis.,0.2,"Efficacy may be present, but therapeutic window will be narrow due to side effects.",0.1,"Long-term safety (cardiac, macular edema, infection) makes approval difficult and labeling restrictive.",0.006,,2010.0
Siponimod,S1P receptor modulator,S1P1 and S1P5 receptors,Multiple sclerosis,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),,CCC1=C(C=CC(=C1)/C(=N/OCC2=CC(=C(C=C2)C3CCCCC3)C(F)(F)F)/C)CN4CC(C4)C(=O)O,CCC1=C(C=CC(=C1)C(=NOCC2=CC(=C(C=C2)C3CCCCC3)C(F)(F)F)C)CN4CC(C4)C(=O)O,KIHYPELVXPAIDH-HNSNBQBZSA-N,44599207,OK,58,"This molecule is a 'Greaseball' disguised by a zwitterionic headgroup. The lipophilic tail (trifluoromethyl + cyclohexyl + phenyl) creates a massive hydrophobic burden (cLogP of the tail > 5). While the azetidine-carboxylic acid (zwitterion) improves solubility and likely targets the S1P receptor phosphate pocket, the molecule risks significant phospholipidosis and non-specific binding due to the high lipophilicity of the right-hand side. The oxime ether linker is generally stable but adds rotatable flexibility. This structure prioritizes potency over developability.",Medium,"Cyclohexyl (hydroxylation), Oxime ether (potential hydrolysis), High Lipophilicity (Phospholipidosis risk)",0.6,"Zwitterionic character mitigates hERG, but high lipophilicity increases risk of adverse events.",0.3,"Efficacy likely high, but PK variability and volume of distribution could be problematic.",0.1,Chronic safety risks (phospholipidosis) and competition in the S1P space.,0.018,,2019.0
Ozanimod,S1P receptor modulator,S1P1 and S1P5 receptors,Multiple sclerosis,Approved,2020,,,approved,CNS,,approved_control,Approved controls (success),,CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CC[C@@H](C4=CC=C3)NCCO)C#N,CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CCCH(C4=CC=C3)NCCO)C#N,XRVDGNKRPOAQTN-FQEVSTJZSA-N,52938427,OK,32,"A sophisticated design that balances polarity and potency. The 1,2,4-oxadiazole serves as a stable, non-hydrolyzable linker. The amino-alcohol motif on the fused ring system suggests a prodrug mechanism (requiring in vivo phosphorylation), which is a clever way to trap the active metabolite in the target tissue. The physicochemical properties are superior to the previous entry, with lower molecular weight and better defined polarity. The main risk lies in the complexity of the prodrug activation and potential off-target effects of the amino-alcohol tail.",High,"Amino-alcohol (promiscuity), Benzylic positions on saturated ring",0.8,Clean structural alerts; likely good safety profile in early escalation.,0.45,"Prodrug activation adds a biological variable to efficacy, but mechanism is validated.",0.2,Strong commercial viability if differentiation is achieved.,0.072,,2020.0
Teriflunomide,DHODH inhibitor,Dihydroorotate dehydrogenase (DHODH),Multiple sclerosis,Approved,2012,,,approved,CNS,,approved_control,Approved controls (success),,C/C(=C(\C#N)/C(=O)NC1=CC=C(C=C1)C(F)(F)F)/O,CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O,UTNUDOFZCWSZMS-YFHOEESVSA-N,54684141,OK,72,"This structure triggers a 'Hard Kill' alert for modern NCE selection. The alpha-cyano enolic amide is a distinct motif associated with exceptionally high plasma protein binding and ultra-long half-lives (weeks), leading to enterohepatic recirculation and washout difficulties. Furthermore, this specific scaffold carries a historical burden of hepatotoxicity (DILI) and teratogenicity. While the Ligand Efficiency (LE) is high, the safety margins are likely non-existent. As an NCE, this is a 'Liver Bomb'.",High,"Alpha-cyano enol (DILI risk, long half-life), Trifluoromethyl-aniline substructure",0.4,Safety concerns regarding half-life and liver enzymes will plague Phase 1.,0.4,Potency is not the issue; safety is.,0.05,Severe regulatory hurdles regarding teratogenicity and liver safety.,0.008,,2012.0
Apixaban,Factor Xa inhibitor,Activated Factor X (FXa),Anticoagulation,Approved,2012,,,approved,Cardiovascular,,approved_control,Approved controls (success),,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,QNZCBYKSOIHPEH-UHFFFAOYSA-N,10182969,OK,18,"An 'Elite' example of rigidification and property optimization. The fused pyrazolo-pyridinone core minimizes entropic penalties while presenting vectors for H-bonding (carboxamide) and hydrophobic interactions (phenyl-lactam) in a precise geometry. Despite a molecular weight pushing 460, the molecule is achiral (simplifying CMC) and balances solubility with permeability effectively. It avoids the 'Grease Tax' by using polar rigidifying elements. A textbook example of a high-quality drug candidate.",High,None (Clean),0.85,"Clean profile, low hERG risk due to lack of basic amines.",0.5,Strong target engagement expected; ADME likely optimized.,0.3,High probability of success if clinical efficacy matches potency.,0.127,,2012.0
Rivaroxaban,Factor Xa inhibitor,Activated Factor X (FXa),Anticoagulation,Approved,2011,,,approved,Cardiovascular,,approved_control,Approved controls (success),,C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl,C1COCC(=O)N1C2=CC=C(C=C2)N3CCH(OC3=O)CNC(=O)C4=CC=C(S4)Cl,KGFYHTZWPPHNLQ-AWEZNQCLSA-N,9875401,OK,48,"A competent but flawed 'Brick'. The oxazolidinone linker is a proven scaffold but carries a stigma of mitochondrial toxicity (ribosome inhibition) if not perfectly tuned. The primary liability here is the chlorothiophene moiety; thiophenes are notorious for metabolic bioactivation (S-oxidation, ring opening) leading to reactive intermediates. While likely potent, the structural alerts for toxicity (thiophene + oxazolidinone) lower its score significantly compared to the pyrazole-based alternative.",Medium,"Chlorothiophene (Bioactivation/Idiosyncratic Tox), Oxazolidinone (Mitochondrial Tox risk)",0.7,"Generally safe, but thiophene metabolism needs monitoring.",0.4,Solubility often limits this class; efficacy is standard.,0.15,Differentiation is difficult; safety signals could emerge in large populations.,0.042,,2011.0
Dabigatran,Direct thrombin inhibitor,Thrombin (Factor IIa),Anticoagulation,Approved,2010,,,approved,Cardiovascular,,approved_control,Approved controls (success),,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,YBSJFWOBGCMAKL-UHFFFAOYSA-N,216210,OK,78,"This structure presents a fundamental developability crisis. It features a highly basic benzamidine moiety (pKa ~11-12) paired with a carboxylic acid, creating a zwitterionic species at physiological pH. While the amidine is a potent arginine mimetic for serine proteases (thrombin), the resulting LogD is likely negative, guaranteeing negligible passive membrane permeability. As an oral agent, this is a 'brick'—it will not be absorbed without a complex double-prodrug strategy. The pyridine and benzimidazole cores are stable, but the physicochemical profile is disqualifying for a standard oral NCE. Tox Summary: Clean structure, but PK dead-end.",High,"Benzamidine (poor perm), Zwitterion",0.4,"Safety likely acceptable, but PK (bioavailability) will likely fail to meet exposure targets in Phase 1.",0.15,Efficacy failure driven by inability to achieve therapeutic concentrations orally.,0.05,Unlikely to reach P3 without prodrug modification.,0.1,,2010.0
Edoxaban,Factor Xa inhibitor,Activated Factor X (FXa),Anticoagulation,Approved,2015,,,approved,Cardiovascular,,approved_control,Approved controls (success),,CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,CN1CCC2=C(C1)SC(=N2)C(=O)NCH3CCH(CCCH3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,HGVDHZBSSITLCT-JLJPHGGASA-N,10280735,OK,32,"A sophisticated, albeit heavy, piece of medicinal chemistry. MW is high (>500), pushing the 'Grease Tax' limits, but the molecule utilizes specific polar interactions (oxalamide linker) rather than just lipophilicity for binding. The tetrahydrothiazolopyridine system is a unique, rigid scaffold. The chloropyridine is metabolically robust. The primary risk is the complexity and number of rotatable bonds/chiral centers, which increases manufacturing difficulty and cost. However, the balance of polarity and shape complementarity suggests high potency. Tox Summary: Clean.",Medium,None explicit,0.85,Good physicochemical balance suggests manageable safety and PK.,0.6,Strong potency potential; main risk is bleeding events (mechanism-based).,0.45,Commercial viability high if safety profile holds.,0.65,,2015.0
Losartan,ARB,Angiotensin II type 1 (AT1) receptor,Hypertension,Approved,1995,,,approved,Cardiovascular,,approved_control,Approved controls (success),,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,3961,OK,22,"This molecule features a classic biphenyl-tetrazole scaffold, a robust acidic pharmacophore often used to mimic carboxylic acids with improved metabolic stability and permeability. The imidazole core is substituted with a butyl chain (lipophilic anchor) and a chlorine atom (metabolic blocker). However, the primary hydroxymethyl group is a significant metabolic liability; it is highly susceptible to rapid oxidation to the carboxylic acid. While this may be an intended prodrug-to-active strategy, as an NCE, the short half-life of the parent is a concern. The physicochemical balance (LipE) appears excellent, with no 'Hard Kill' toxicophores present. Tox Summary: Clean.",Medium,,0.85,"Clean structure, no hERG alerts, standard GPCR-like scaffold.",0.65,"Good potency expected, but rapid clearance of the primary alcohol might require dose adjustment.",0.45,Commercial viability depends on the active metabolite profile.,0.8,,1995.0
Valsartan,ARB,Angiotensin II type 1 (AT1) receptor,Hypertension,Approved,1996,,,approved,Cardiovascular,,approved_control,Approved controls (success),,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)CH(C(C)C)C(=O)O,ACWBQPMHZXGDFX-QFIPXVFZSA-N,60846,OK,28,"A peptidomimetic design grafted onto the biphenyl-tetrazole template. The inclusion of a valine-derived moiety acylated with a pentanoyl chain introduces specific chirality and bulk. The lipophilicity of the pentanoyl group helps offset the polarity of the tetrazole and carboxylic acid. The main risk is the presence of two acidic protons (tetrazole pKa ~5, COOH pKa ~4), likely forming a dianion at physiological pH, which typically hampers passive permeability. However, the overall lipophilic core may compensate. No reactive metabolites or structural alerts detected. Tox Summary: Clean.",High,,0.85,"Low toxicity risk, standard peptide-like metabolism.",0.55,Oral bioavailability is the main hurdle due to dianionic character.,0.35,"If exposure is adequate, safety profile should be benign.",0.75,,1996.0
Olmesartan,ARB,Angiotensin II type 1 (AT1) receptor,Hypertension,Approved,2002,,,approved,Cardiovascular,,approved_control,Approved controls (success),,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O,VTRAEEWXHOVJFV-UHFFFAOYSA-N,158781,OK,68,"This structure is a 'Permeability Failure' in the making. It combines a biphenyl-tetrazole with an imidazole bearing a free carboxylic acid AND a tertiary alcohol. The resulting molecule is highly polar and will exist as a dianion at pH 7.4. TPSA is likely > 120 Å², violating CNS and general oral absorption guidelines. While the tertiary alcohol is metabolically robust, the inability to cross membranes passively makes this a poor oral NCE candidate without a prodrug strategy (e.g., esterification of the carboxylate). Tox Summary: Clean, but not developable as drawn.",High,,0.7,"Safe, but likely low exposure.",0.2,High risk of failure due to poor oral bioavailability (Class III/IV).,0.05,Unlikely to reach efficacy endpoints without formulation/prodrug fix.,0.4,,2002.0
