compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites
Lumateperone,D2/5-HT2 modulator,"5-HT2A and D2 receptors, SERT",Schizophrenia,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),,CN1CCN2[C@H]3CCN(C[C@H]3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F,CN1CCN2CH3CCN(CCH3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F,HOIIHACBCFLJET-SFTDATJTSA-N,21302490,OK,28,"An intriguing mix of a highly novel, complex tetracyclic core and a 'standard' butyrophenone tail. The core has high Fsp3 and specific stereochemistry, which is excellent for selectivity and patentability. The tail, however, is a known hERG liability (haloperidol-like), though the rigidity of the core might mitigate the exact spatial overlap required for hERG channel blocking. The ketone is a metabolic handle. Overall, the investment in the complex core pays off in 'Developability Credit', balancing the risks of the side chain. Tox Summary: Clean (Monitor hERG).",Medium,"Fluorobutyrophenone tail (hERG risk, ketone reduction)",0.7,"Generally safe, provided the hERG margin is established early.",0.4,Strong target engagement expected. PK profile should be predictable.,0.15,Good candidate for chronic dosing if cardiac safety is confirmed.,0.042,
Amisulpride,D2/D3 antagonist,D2 and D3 receptors,Schizophrenia,Approved,2020,,,approved,CNS,,approved_control,Approved controls (success),,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,NTJOBXMMWNYJFB-UHFFFAOYSA-N,2159,OK,38,"The 'Polar Bear' of the batch. This molecule has very low lipophilicity (cLogP ~1.0) and high polarity (Sulfone, Amide, Aniline). While this grants it exceptional safety regarding DILI and promiscuity (high LipE), it severely penalizes CNS penetration. The TPSA is bordering on the 90 Å² cutoff. It will likely require high doses to achieve brain occupancy, or rely on active transport. The aniline moiety is generally stable in this benzamide context but is a structural alert for N-oxidation. It is a safe, selective molecule that might fail simply because it can't get to the target. Tox Summary: Clean.",High,"Aniline (N-oxidation risk), Primary amine",0.85,Very low toxicity risk due to low lipophilicity. Phase 1 safety should be a breeze.,0.25,High risk of failure due to lack of efficacy (poor BBB penetration).,0.15,"If it works, it's a blockbuster due to clean safety profile.",0.032,
Sulpiride,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1969 (France),,,approved,CNS,,approved_control,Approved controls (success),,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,BGRJTUBHPOOWDU-UHFFFAOYSA-N,5355,OK,42,"This molecule is a 'Polar Bear'. While the low cLogP (< 1.0) and lack of heavy lipophilicity suggest excellent safety and low metabolic clearance, the CNS penetration is the critical liability. The combination of a primary sulfonamide and a benzamide creates a high TPSA relative to the molecular weight, likely requiring active transport (e.g., OCT/PMAT) or high doses to achieve brain occupancy. It avoids the 'Grease Tax' entirely but pays a 'Permeability Tax'. The structure is chemically stable, but the sulfonamide is a potential hypersensitivity alert. Tox Summary: Clean but difficult to deliver.",High,Primary Sulfonamide (Hypersensitivity risk),0.9,Safety profile is likely pristine due to high hydrophilicity; low risk of DILI or hERG.,0.3,High risk of failure due to poor Blood-Brain Barrier permeability (low passive diffusion).,0.25,"If it works, it's safe, but efficacy at tolerable doses is the hurdle.",0.4,
Pimozide,D2 antagonist,Dopamine D2 receptor,Schizophrenia/Tourette,Approved,1984,,,approved,CNS,,approved_control,Approved controls (success),,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,YVUQSNJEYSNKRX-UHFFFAOYSA-N,16362,OK,88,"HARD KILL ALERT. This structure is a textbook hERG pharmacophore: a basic piperidine nitrogen connected via a flexible propylene spacer to a massive hydrophobic cluster (bis-fluorophenyl methane). The cLogP is likely > 5.0, triggering the 'Grease Tax' and 'DILI Rule of Two' (High LogP + Daily Dosing). While potency might be nanomolar, the safety margin will be non-existent. The benzimidazolinone adds polarity but cannot offset the lipophilic tail. This is a 'cardiac assassin' disguised as a drug. Tox Summary: Not Clean (hERG/Phospholipidosis).",Low,"Diphenylbutylpiperidine motif (hERG super-binder), Bis-fluorophenyl (Lipophilicity sink)",0.2,High probability of QT prolongation and termination in Phase 1.,0.1,"If it survives P1, DILI or metabolic variability will kill it here.",0.05,Unviable for chronic dosing.,0.15,
Molindone,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1974,,,approved,CNS,,approved_control,Approved controls (success),,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C,CCC1=C(NC2=C1C(=O)C(CC2)CN3CCOCC3)C,KLPWJLBORRMFGK-UHFFFAOYSA-N,23897,OK,28,"An impressive display of Ligand Efficiency. The molecule is compact (MW < 300) with a balanced hydrophilic/lipophilic profile. The Mannich base-like linkage to the morpholine requires stability testing (retro-Mannich risk), but if stable, this is an ideal CNS lead. It avoids the 'Brick' and 'Grease' traps completely. The partially saturated indole core provides 3D character without excessive MW. This represents a 'High-Fidelity' starting point with room for optimization. Tox Summary: Clean.",Medium,Mannich base (Potential instability/reactivity),0.8,"Good safety profile, assuming chemical stability of the amine linkage.",0.6,Excellent CNS physicochemical properties suggest good target engagement.,0.4,Short half-life might be the only commercial drawback.,0.7,
Thiothixene,D2 antagonist,Dopamine D2 receptor,Schizophrenia,Approved,1967,,,approved,CNS,,approved_control,Approved controls (success),,CN1CCN(CC1)CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,GFBKORZTTCHDGY-UWVJOHFNSA-N,941651,OK,65,"A 'Dirty Tricycle'. The thioxanthene core fused with an exocyclic double bond introduces geometric isomerism issues (E/Z stability) and high lipophilicity. The dimethylsulfonamide adds necessary polarity but doesn't fix the promiscuity inherent to flat, greasy tricyclic systems. This scaffold historically hits multiple GPCRs (histaminergic, adrenergic, muscarinic), leading to a 'side-effect soup'. It feels dated—effective, but lacking the precision of modern design. Tox Summary: Not Clean (Promiscuity).",Medium,"Exocyclic alkene (Isomerization/Metabolic soft spot), Tricyclic core (Promiscuity)",0.7,"Likely safe enough for acute dosing, but side effects (sedation, anticholinergic) will be evident.",0.4,"Efficacy is probable, but differentiation from standard of care will be difficult due to side effects.",0.2,Commercial viability low due to 'dirty' profile.,0.45,
Perospirone,D2/5-HT2 antagonist,D2 and 5-HT2A receptors,Schizophrenia,Approved,2001 (Japan),,,approved,CNS,,approved_control,Approved controls (success),,C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54,C1CCCH2CH(C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54,FBVFZWUMDDXLLG-HDICACEKSA-N,115368,OK,15,"Elite structural design. This molecule balances high molecular complexity (Fsp3 via the chiral bicyclic imide) with a privileged heteroaromatic tail (benzisothiazole). The MW is bordering on high (~490), but the TPSA and LogP are in the 'Goldilocks Zone' for CNS. The rigid, 3D scaffold minimizes non-specific binding compared to flat aromatics. The butyl linker is a metabolic soft spot, but the overall topology suggests high potency and selectivity. This is what a modern, optimized CNS candidate looks like. Tox Summary: Clean.",Medium,None significant; Benzisothiazole is robust.,0.85,High selectivity predicts a clean safety window.,0.65,Strong physicochemical properties for CNS penetration and receptor occupancy.,0.5,Strong candidate for approval if efficacy translates.,0.8,
Methylphenidate,Catecholamine RI,Dopamine transporter (DAT) and Norepinephrine transporter (NET),ADHD,Approved,1955,,,approved,CNS,,approved_control,Approved controls (success),,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,DUGOZIWVEXMGBE-UHFFFAOYSA-N,4158,OK,58,"The scaffold exhibits textbook CNS physicochemical properties (MW ~233, cLogP ~2.1, TPSA ~30), falling perfectly into the 'Goldilocks' zone for brain penetration. However, the molecule contains a methyl ester, which is a notorious metabolic soft spot susceptible to rapid hydrolysis by carboxylesterases (CES1), likely limiting half-life. Furthermore, the input is a racemate. In modern development, carrying a 50% distomer burden is a significant penalty due to unnecessary off-target risks. Tox Summary: Clean.",Low,"None (Methyl ester is a stability liability, not tox)",0.6,"Safety likely acceptable, but rapid ester hydrolysis may complicate PK.",0.3,Short duration of action due to esterase activity may limit efficacy in chronic indications.,0.1,Racemic nature and poor PK stability are commercial disadvantages.,0.18,
Dexmethylphenidate,Catecholamine RI,DAT and NET (more active d-enantiomer),ADHD,Approved,2001,,,approved,CNS,,approved_control,Approved controls (success),,COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=CC=C2,COC(=O)CH(CH1CCCCN1)C2=CC=CC=C2,DUGOZIWVEXMGBE-CHWSQXEVSA-N,154101,OK,32,"This is the resolved enantiomer of the previous entry. By isolating the eutomer, the Lipophilic Efficiency (LipE) is maximized, and the 'distomer tax' is removed. The physicochemical profile remains elite for CNS penetration. The methyl ester liability persists, meaning the molecule will still face rapid clearance, but the potency-to-dose ratio is significantly improved over the racemate. Tox Summary: Clean.",Low,None,0.75,Clean safety profile expected; chiral resolution removes distomer noise.,0.45,"Efficacy is high, though PK (half-life) remains the primary attrition risk.",0.2,"Clinically validated mechanism class, but generic competition is a risk.",0.4,
Amphetamine,Monoamine releaser,"DAT, NET, and Vesicular monoamine transporter 2 (VMAT2)",ADHD,Approved,1937,,,approved,CNS,,approved_control,Approved controls (success),,CC(CC1=CC=CC=C1)N,CC(CC1=CC=CC=C1)N,KWTSXDURSIMDCE-UHFFFAOYSA-N,3007,OK,48,"An ultra-low MW (<140) fragment. While this guarantees blood-brain barrier permeability, the primary amine on a short alkyl chain is a structural alert for Monoamine Oxidase (MAO) susceptibility and general promiscuity across aminergic GPCRs. The racemic nature indicates a lack of refinement. While Ligand Efficiency is theoretically high, the molecule lacks the structural complexity usually required for high selectivity. Tox Summary: Clean but promiscuous.",Medium,Primary amine (MAO liability),0.65,Sympathomimetic side effects likely; dose-limiting toxicity.,0.35,"Efficacy certain, but side-effect profile (CV) may be narrow.",0.15,Racemic commodity chemical; low commercial barrier.,0.25,
Dextroamphetamine,Monoamine releaser,"DAT, NET, and VMAT2",ADHD,Approved,1976,,,approved,CNS,,approved_control,Approved controls (success),,C[C@@H](CC1=CC=CC=C1)N,CCH(CC1=CC=CC=C1)N,KWTSXDURSIMDCE-QMMMGPOBSA-N,5826,OK,18,"The resolved (S)-enantiomer of the phenethylamine scaffold. This represents maximum atom economy and Ligand Efficiency. With a cLogP ~1.8 and minimal MW, CNS penetration is unrestricted. The primary amine remains a metabolic handle (N-oxidation/deamination), but the removal of the distomer sharpens the pharmacological profile. This is an elite, albeit simple, CNS lead. Tox Summary: Clean.",Medium,None,0.8,High safety margin if dosed appropriately; clean PK.,0.5,Strong target engagement expected.,0.25,High probability of approval for CNS indications.,0.55,
Lisdexamfetamine,Prodrug (amphetamine),Prodrug converted to Dextroamphetamine (targeting DAT and NET),ADHD,Approved,2007,,,approved,CNS,,approved_control,Approved controls (success),,C[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](CCCCN)N,CCH(CC1=CC=CC=C1)NC(=O)CH(CCCCN)N,VOBHXZCDAVEXEY-JSGCOSHPSA-N,11597698,OK,12,"An elegant prodrug design. The active phenethylamine payload is coupled via an amide bond to a polar amino acid moiety. This modification drastically lowers logD and increases TPSA, effectively preventing direct CNS penetration and abuse potential (snorting/injection). Bioactivation requires enzymatic hydrolysis (likely peptidase-mediated) in the blood/gut, enforcing a rate-limited release profile that blunts Cmax spikes. Chemically stable and highly developable. Tox Summary: Clean.",High,None,0.85,Prodrug strategy reduces acute toxicity and Cmax-related AEs.,0.6,Extended release profile improves efficacy/compliance.,0.4,Differentiation via PK profile offers strong commercial viability.,0.65,
Atomoxetine,Selective NRI,Norepinephrine transporter (NET),ADHD,Approved,2002,,,approved,CNS,,approved_control,Approved controls (success),,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,CC1=CC=CC=C1OCH(CCNC)C2=CC=CC=C2,VHGCDTVCOLNTBX-QGZVFWFLSA-N,54841,OK,28,"Textbook CNS scaffold design. The molecule features a low MW (< 300) phenoxypropylamine core, which typically yields high ligand efficiency. The secondary amine (pKa ~9.5) ensures solubility, while the lipophilicity (cLogP ~3.5) is within the Goldilocks zone for blood-brain barrier penetration. However, the ortho-tolyl methyl group is a glaring metabolic 'soft spot' susceptible to rapid benzylic oxidation by CYPs (likely 2D6/3A4), potentially leading to high inter-patient variability. The flexible linker suggests an entropic penalty upon binding unless the receptor pocket is highly induced. Tox Summary: Clean.",Medium,"None (Benzylic methyl is a clearance liability, not tox)",0.85,"Clean structure, no structural alerts, standard CNS pharmacophore.",0.45,High probability of target engagement; main risk is PK variability due to metabolism.,0.3,"Standard CNS attrition risks, but chemistry is robust.",0.8,
Guanfacine,_2A_ agonist,_2A_-adrenergic receptor,ADHD,Approved,1986,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,INJOMKTZOLKMBF-UHFFFAOYSA-N,3519,OK,30,"Interesting bioisostere approach. The acylguanidine moiety reduces basicity (pKa ~8) compared to a standard guanidine, improving CNS permeability while maintaining a specific H-bond donor/acceptor profile. The 2,6-dichlorophenyl ring is a 'MedChem classic' for forcing an orthogonal conformation relative to the side chain and blocking metabolic attack at the most reactive ring positions. However, the acylguanidine is a hydrolytic liability; hydrolysis would release 2,6-dichloroaniline, a known nephrotoxin/genotoxin structural alert. While likely stable enough, this metabolic trajectory prevents an 'Elite' score. Tox Summary: Potential masked aniline liability.",High,"2,6-dichloroaniline (masked)",0.8,"Generally safe, but monitoring for hydrolytic metabolites required.",0.4,Selectivity of the acylguanidine vs other imidazoline-binding sites is the key efficacy driver.,0.25,Chronic safety depends on the stability of the amide bond.,0.75,
Clonidine,_2_ agonist,"_2A_, _2B_, and _2C_-adrenergic receptors",ADHD/Hypertension,Approved,1974,,,approved,CNS,,approved_control,Approved controls (success),,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,GJSURZIOUXUGAL-UHFFFAOYSA-N,2803,OK,22,"Elite Ligand Efficiency candidate. With a MW ~230 and cLogP ~1.6, this molecule is practically designed to teleport across the BBB. The amino-imidazoline core provides a rigidified guanidine-like pharmacophore. The 2,6-dichloro substitution pattern effectively blocks ortho-metabolism and enforces a specific torsion angle critical for receptor fit. The primary liability is the exocyclic nitrogen linkage; if cleaved (oxidative/hydrolytic), it releases the 2,6-dichloroaniline toxicophore. However, the imidazoline ring is generally robust. This is a highly optimized 'minimalist' binder. Tox Summary: Clean (assuming metabolic stability of linker).",High,"2,6-dichloroaniline (masked)",0.85,Low dose anticipated due to high LE; safety margins likely good.,0.5,Strong target engagement expected for this chemotype.,0.35,"Proven scaffold class, low attrition risk.",0.85,
Modafinil,Wakefulness agent,DAT inhibition and modulation of glutamatergic/GABAergic circuits,Narcolepsy,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,YFGHCGITMMYXAQ-UHFFFAOYSA-N,4236,OK,45,"A 'lazy' entry due to lack of stereocontrol. The structure is a benzhydryl sulfinyl acetamide. While the physicochemical properties (MW < 300, moderate polarity via sulfoxide/amide) are acceptable for CNS, the presence of a chiral sulfoxide in a racemic mixture is a significant developability penalty in modern MedChem. Sulfoxides are metabolic chameleons—prone to both oxidation (to sulfone) and reduction (to sulfide)—creating a complex PK profile. The racemate implies 50% 'inert burden' or potential off-target toxicity from the distomer. Tox Summary: Clean fragments, but 'Racemate Tax' applied.",Medium,None,0.7,Racemate complicates PK/PD and safety interpretation.,0.3,Efficacy dilution by distomer reduces probability of success.,0.15,Regulatory hurdles for racemates are higher; switch to enantiomer likely required.,0.6,
Armodafinil,Wakefulness agent,DAT inhibition (R-enantiomer of modafinil),Narcolepsy,Approved,2007,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)N,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,YFGHCGITMMYXAQ-LJQANCHMSA-N,9690109,OK,20,"The 'Professional' version of the previous entry. Isolating the single enantiomer of the sulfoxide resolves the 'distomer tax' and simplifies the PK/PD relationship. The molecule retains the excellent CNS properties: low MW, balanced lipophilicity/polarity (sulfoxide + amide), and high fraction sp3 for a small aromatic system. The benzhydryl tail provides significant hydrophobic anchorage, while the polar headgroup manages solubility. Metabolic susceptibility at the sulfoxide remains (redox cycling), but this is a manageable liability for a lead with such high efficiency. Tox Summary: Clean.",Medium,None,0.9,"Clean profile, single enantiomer, low toxicity risk.",0.55,High CNS exposure and clean pharmacology predict good translation.,0.4,Strong commercial viability and safety profile.,0.9,
Levetiracetam,SV2A modulator,Synaptic vesicle protein 2A (SV2A),Epilepsy,Approved,1999,,,approved,CNS,,approved_control,Approved controls (success),,CC[C@@H](C(=O)N)N1CCCC1=O,CCCH(C(=O)N)N1CCCC1=O,HPHUVLMMVZITSG-LURJTMIESA-N,5284583,OK,12,"This is an exceptionally lean scaffold (MW < 200). While the physicochemical properties for CNS penetration are ideal (low cLogP, low TPSA), the lack of hydrophobic bulk suggests this molecule likely suffers from low intrinsic potency, necessitating a high clinical dose (Gram-level?). However, from a safety and developability standpoint, it is pristine. No structural alerts, no metabolic soft spots, and high Fsp3 character. It is a 'Lead-like' fragment that somehow made it to the clinic. Tox Summary: Clean.",High,None,0.92,Chemically inert scaffold with minimal toxicity risks.,0.65,High probability of safety success; efficacy depends entirely on whether this fragment can drive sufficient affinity.,0.45,"If potency is sufficient, this is a commercial winner due to low COGS and clean safety profile.",0.85,
Brivaracetam,SV2A modulator,Synaptic vesicle protein 2A (SV2A),Epilepsy,Approved,2016,,,approved,CNS,,approved_control,Approved controls (success),,CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N,CCCCH1CC(=O)N(C1)CH(CC)C(=O)N,MSYKRHVOOPPJKU-BDAKNGLRSA-N,9837243,OK,8,"This is the 'Goldilocks' evolution of the previous pyrrolidone scaffold. The addition of the propyl chain and the ethyl group on the ring introduces just enough lipophilicity (cLogP ~1.5-2.0) to optimize brain penetration and likely improve potency via hydrophobic contacts, without incurring a 'Grease Tax'. The molecule retains high Fsp3 character and low MW (< 250). It represents the pinnacle of CNS small molecule design: potent, soluble, and metabolically predictable. Tox Summary: Clean.",High,None,0.92,Retains the safety profile of the parent scaffold while optimizing ADME.,0.7,Superior LipE profile suggests better target engagement at lower doses.,0.5,Ideal chronic CNS drug profile.,0.9,
Lacosamide,Na+ channel modulator,Slow inactivation of voltage-gated Na+ channels; also binds to CRMP2,Epilepsy,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),,CC(=O)N[C@H](COC)C(=O)NCC1=CC=CC=C1,CC(=O)NCH(COC)C(=O)NCC1=CC=CC=C1,VPPJLAIAVCUEMN-GFCCVEGCSA-N,219078,OK,18,"A functionalized amino-acid derivative. The structure is essentially a 'linearized' peptidomimetic with a benzyl cap. While chemically stable, the high flexibility (rotatable bonds) incurs an entropic penalty for binding, suggesting moderate potency. The methoxy/acetamide motifs are metabolically benign. The primary risk here is not toxicity, but rather 'vanilla' pharmacology—it lacks the rigid 3D vectors often required for high selectivity. However, for a channel modulator, this 'floppy' nature is sometimes acceptable. Tox Summary: Clean.",Medium,None,0.88,Low toxicity risk; standard amide metabolism.,0.55,Efficacy risk due to conformational flexibility and potential for low potency.,0.35,Solid commercial potential if efficacy is proven.,0.75,
Perampanel,AMPA antagonist,AMPA-type glutamate receptors,Epilepsy,Approved,2012,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,PRMWGUBFXWROHD-UHFFFAOYSA-N,9924495,OK,65,"This molecule triggers the 'Grease Tax' alarm. It is a flat, poly-aromatic slab (3 aromatic rings + pyridone) with a nitrile handle. cLogP is likely pushing > 4.0, and solubility will be 'Brick Dust' territory. The lack of sp3 character (Fsp3 near zero) is a major developability liability, predicting poor solubility and high plasma protein binding. While the nitrile is stable, the electron-deficient pyridine/pyridone systems are prone to nucleophilic attack or complex CYP interactions. It looks like a promiscuous binder that relies on hydrophobic effect rather than specific interactions. Tox Summary: Not Clean (Promiscuity/Solubility risks).",Low,"Poly-aromatic core (Intercalation/Solubility), Nitrile (minor risk)",0.6,High risk of non-linear PK and solubility-limited absorption.,0.3,High lipophilicity often correlates with clinical attrition due to off-target tox or lack of efficacy at tolerated doses.,0.1,Difficult molecule to formulate and manage chronically.,0.4,
Zonisamide,Sodium channel modulator,Voltage-gated Na+ and T-type Ca2+ channels; carbonic anhydrase inhibition,Epilepsy,Approved,2000,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,UBQNRHZMVUUOMG-UHFFFAOYSA-N,5734,OK,48,"A mixed bag. The physicochemical properties (MW ~212, low cLogP) are excellent for CNS distribution. However, the molecule contains a primary sulfonamide, which is a classic structural alert for idiosyncratic hypersensitivity (SJS/TEN) and carbonic anhydrase inhibition (off-target effects). The benzisoxazole core is also susceptible to reductive ring opening, potentially generating reactive intermediates. While it fits the CNS MPO guidelines, the specific moieties chosen carry a 'Clinical Tax' requiring heavy safety monitoring. Tox Summary: Not Clean (Sulfonamide alert).",Medium,"Primary Sulfonamide (Hypersensitivity), Benzisoxazole (Reductive ring opening)",0.75,"Generally safe in short term, but sulfonamide allergies are a screen-out factor.",0.4,"Good CNS exposure likely, but safety signals may limit dose escalation.",0.15,Idiosyncratic tox risk makes this a commercially fragile asset.,0.6,
Gabapentin,Calcium channel modulator,_2__ subunit of voltage-gated Ca2+ channels,Epilepsy,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),,C1CCC(CC1)(CC(=O)O)CN,C1CCC(CC1)(CC(=O)O)CN,UGJMXCAKCUNAIE-UHFFFAOYSA-N,3446,OK,22,"This is a zwitterionic gamma-amino acid scaffold. Structurally, it is extremely polar and violates standard passive permeability rules (TPSA/Charge). It will NOT cross the BBB unless it hijacks a specific transporter (likely LAT1). If it hits the transporter, it is an elegant, metabolically inert 'spacer' molecule. The cyclohexane ring provides bulk without lipophilicity penalties. No toxicophores. The main risk is low affinity requiring gram-level dosing, but the safety profile is elite. Tox Summary: Clean.",High,None,0.85,Chemically inert. Renal clearance expected. Low off-target risk.,0.6,Efficacy depends entirely on transporter expression and saturation.,0.5,"Clean safety profile supports chronic use, provided potency is sufficient.",0.25,
Pregabalin,Calcium channel modulator,_2__ subunit of voltage-gated Ca2+ channels,Epilepsy,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),,CC(C)C[C@@H](CC(=O)O)CN,CC(C)CCH(CC(=O)O)CN,AYXYPKUFHZROOJ-ZETCQYMHSA-N,5486971,OK,20,"A chiral acyclic analog of the previous entry. The isobutyl group is a classic leucine-mimetic motif, strongly suggesting transporter affinity (LAT1/System L). Like its cyclic cousin, it is a zwitterion that fails standard Lipinski CNS rules but succeeds via active transport. The specific stereochemistry is critical here. It is metabolically bulletproof and lacks structural alerts. High dose burden is the only developability negative. Tox Summary: Clean.",High,None,0.85,No structural alerts. Likely renal excretion unchanged.,0.65,Transporter-mediated uptake often yields better brain/plasma ratios than passive diffusion.,0.55,Low toxicity risk for chronic dosing.,0.3,
Felbamate,GABA/Glutamate modulator,NMDA receptor antagonist and GABA$_A receptor potentiation,Epilepsy,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,WKGXYQFOCVYPAC-UHFFFAOYSA-N,3331,OK,88,"HARD KILL ALERT. This is a bis-carbamate on a 2-phenyl-1,3-propanediol core. While carbamates are often stable, this specific arrangement is a metabolic trap. Hydrolysis of the carbamates followed by oxidation of the resulting alcohol can generate 2-phenylpropenal (atropaldehyde), a highly reactive Michael acceptor. This is a textbook structural alert for idiosyncratic toxicity (aplastic anemia/hepatotoxicity) via protein adduction. Despite decent physical properties, the bioactivation risk is unacceptable for a modern NCE. Tox Summary: Not Clean (Reactive Metabolite Risk).",Low,Bis-carbamate motif (precursor to atropaldehyde Michael acceptor),0.6,"May pass acute safety, but reactive metabolites accumulate.",0.3,Liver enzyme elevations likely.,0.05,Idiosyncratic toxicity (Black Box Warning potential) kills this in large populations.,0.01,
Ethosuximide,T-type calcium blocker,T-type voltage-gated Ca2+ channels,Epilepsy,Approved,1960,,,approved,CNS,,approved_control,Approved controls (success),,CCC1(CC(=O)NC1=O)C,CCC1(CC(=O)NC1=O)C,HAPOVYFOVVWLRS-UHFFFAOYSA-N,3291,OK,35,"A tiny succinimide fragment. MW < 150. This is barely a drug; it's a fragment. While the succinimide ring is stable and neutral, the potency will likely be in the millimolar range, necessitating massive daily doses. There are no specific toxicophores, but the 'Potency Tax' is heavy here. It is essentially a polar brick. Good solubility, but low LipE. It will require high plasma concentrations to drive effect. Tox Summary: Clean.",Medium,None,0.8,Low acute toxicity expected.,0.4,Weak potency limits efficacy window; side effects from high molarity possible.,0.3,Commercial viability low due to high dose burden.,0.1,
Phenytoin,Na+ channel blocker,Voltage-gated Na+ channels (fast inactivation),Epilepsy,Approved,1939,,,approved,CNS,,approved_control,Approved controls (success),,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,CXOFVDLJLONNDW-UHFFFAOYSA-N,1775,OK,65,"This 5,5-diphenylhydantoin is a 'Crystal Brick'. The hydantoin core is rigid and polar, while the two phenyl rings create a flat, hydrophobic slab. This leads to terrible aqueous solubility and dissolution-limited absorption. Metabolically, the electron-rich phenyl rings are prone to hydroxylation, potentially via an arene oxide intermediate (sensitization risk). Furthermore, this scaffold is notorious for non-linear pharmacokinetics (saturation of metabolism), making dosing unpredictable. It looks like a drug from the 1930s, not 2024. Tox Summary: Not Clean (PK/Solubility liabilities).",Medium,"Diphenylhydantoin (Arene oxide risk, Gingival hyperplasia structural link)",0.7,Solubility issues may hamper formulation.,0.4,Non-linear PK makes dose-finding a nightmare.,0.2,Chronic side effects and narrow therapeutic index.,0.06,
