compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V22,Rationale V22,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V22,P1 Rationale V22,P2 Prob V22,P2 Rationale V22,P3 Prob V22,P3 Rationale V22,TCSP V22,salah_verdict,biological_risk
Diazepam,,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Anxiety; seizures; muscle spasm,Approved,1963,,,approved,CNS,,approved_control,Approved controls (success),CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,AAOVKJBEBIDNHE-UHFFFAOYSA-N,3016,OK,1963.0,2,"This is a masterclass in CNS medicinal chemistry. The molecule presents a 1,4-benzodiazepine core with physicochemical properties that define the 'Goldilocks Zone' for brain penetration. With a Molecular Weight of ~284 Da and a cLogP of ~2.9, the Ligand Efficiency (LE) and Lipophilic Efficiency (LipE) are likely astronomical. The TPSA is ~32 Å² with zero Hydrogen Bond Donors (HBD), ensuring rapid and complete blood-brain barrier transit. Structurally, the N-methyl group and the C3-methylene serve as predictable metabolic handles (N-demethylation and C3-hydroxylation), preventing bioaccumulation without introducing toxicophores. The imine nitrogen is insufficiently basic to trigger the hERG pharmacophore, and the scaffold lacks any 'Hard Kill' alerts like anilines or Michael acceptors. While the Bio-Advisory notes the target is 'Elite', the chemistry is what makes that biology accessible. This is a 'Small Molecule Gem'—high potency, low complexity, and zero structural waste. Tox Summary: Clean.",Medium,None,0.95,"Structure is devoid of structural alerts, hERG liabilities, or reactive metabolites. Low dose (<10mg) projection minimizes off-target toxicity risks.",0.9,Ideal CNS physicochemical profile guarantees target engagement. Efficacy is mechanistically assured (GABA-A PAM).,0.85,Clean safety profile and high efficacy. Main risks are regulatory (abuse potential) rather than chemical or toxicological.,0.73,ELITE,"You have presented Diazepam. From a systems biology perspective, the GABA-A receptor is the antithesis of a 'graveyard' target—it is the historical gold standard for anxiolysis. Unlike the catastrophic failures of BACE1 or the idiosyncratic toxicity of high-dose CGRP antagonists, this mechanism guarantees efficacy. The clinical dose is low (<10mg), placing zero stress on hepatic clearance capacity, thereby nullifying the dose-dependent DILI risk common in modern high-MW candidates. The biological risk is effectively zero; the only liability is on-target CNS depression and abuse potential, which are known quantities."
Lorazepam,,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Anxiety; status epilepticus,Approved,1977,,,approved,CNS,,approved_control,Approved controls (success),C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,DIWRORZWFLOCLC-UHFFFAOYSA-N,3958,OK,1977.0,62,"From a strictly physicochemical perspective, this scaffold is a masterpiece of CNS design. With a MW ~321 and cLogP ~2.4, it occupies the absolute center of the CNS 'Goldilocks Zone'. The specific inclusion of the C3-hydroxyl group is a brilliant 'Metabolic Shunt': it directs clearance away from oxidative CYP450 metabolism (prone to DILI and DDIs) and towards Phase II Glucuronidation (UGT), ensuring predictable PK even in hepatically compromised populations. The ortho-chlorine on the pendant ring provides essential conformational locking via atropisomerism, maximizing potency without excessive lipophilicity. However, I cannot ignore the Biological Advisory. While the chemistry is 'Elite' (Base Score ~17), the mechanism is a blunt instrument. This is a non-selective GABA-A modulator with guaranteed on-target sedation and abuse liability. You have designed the perfect molecule for a target class that regulators are actively trying to kill. The +45 point penalty is applied strictly for the commercial/regulatory impossibility of launching a new addictive sedative in the modern era. Tox Summary: Chemically Clean / Mechanism Dirty.",High,None (Clean UGT handle),0.85,Chemically pristine. The metabolic shunt to UGT minimizes liver injury risk. Main safety finding will be on-target sedation.,0.7,Efficacy is structurally guaranteed for this scaffold. The challenge is differentiating from generic standards of care.,0.1,Regulatory death valley. Approval for a new scheduled (controlled) substance with abuse potential is nearly impossible without a novel non-sedating profile.,0.06,CAUTION,"You have presented a classic 3-hydroxy-1,4-benzodiazepine (Lorazepam-class). Biologically, the target (GABA-A PAM) is fully validated but carries immense on-target liabilities: sedation, amnesia, ataxia, and profound physical dependence. While the 3-hydroxy moiety is a brilliant metabolic handle allowing for direct glucuronidation (bypassing CYP450 and sparing the liver), the CNS toxicity profile is archaic. In the modern era, the regulatory hurdle for new addictive sedatives is nearly insurmountable without distinct subtype selectivity, which this scaffold historically lacks. You will not kill the liver, but you risk creating a dependent patient population."
Alprazolam,,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Anxiety/panic disorder,Approved,1981,,,approved,CNS,,approved_control,Approved controls (success),CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,VREFGVBLTWBCJP-UHFFFAOYSA-N,2118,OK,1981.0,4,"This candidate represents the pinnacle of CNS physicochemical optimization. The fusion of the triazole ring to the 1,4-benzodiazepine core is a structural masterstroke: it eliminates the amide hydrogen bond donor (a liability for BBB penetration), rigidly constrains the pharmacophore to minimize entropic binding penalties, and lowers TPSA to an astonishing ~30 Å². With a MW of ~308 and cLogP in the ideal 2.5-3.5 range, the CNS MPO score is near perfect. The methyl group on the triazole provides a predictable metabolic handle for CYP3A4 hydroxylation, ensuring the molecule does not linger indefinitely, though this necessitates careful PK monitoring. The Biological Advisory's confirmation of sub-milligram potency validates the extreme Ligand Efficiency inherent in this low-MW scaffold. At doses <1mg, the 'Rule of Two' for DILI is mathematically impossible, and the absence of basic amines eliminates hERG risks. The only penalty applied is the 'Historical Target Stigma' noted in the advisory, but chemically, this is a CNS missile. Tox Summary: Clean.",Medium,"None (Methyl group is a metabolic soft spot, not a toxicophore)",0.92,"Pristine chemistry. Low MW, no structural alerts, and sub-milligram dosing virtually eliminate Phase 1 safety attrition risks.",0.85,The target is clinically validated. The structural rigidity and lipophilic efficiency suggest high target engagement. Efficacy is highly probable.,0.65,"While safety and efficacy are elite, the mechanism (GABA-A PAM) carries inherent regulatory and abuse liability risks which dampen commercial/approval probability slightly.",0.51,ELITE,"This molecule is Alprazolam (Xanax). You have presented a structure that defines the 'Gold Standard' for high-potency benzodiazepines. The target (GABA-A receptor positive allosteric modulation) is clinically validated beyond doubt. The dose requirement is sub-milligram (0.25mg - 2mg), which completely eliminates the risk of dose-dependent DILI or hepatic saturation. The biological feasibility is absolute. The only risks are on-target mechanism-based toxicities (sedation, respiratory depression, dependence) and regulatory scheduling, not clinical attrition due to lack of efficacy."
Clonazepam,,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Seizures; panic disorder,Approved,1975,,,approved,CNS,,approved_control,Approved controls (success),C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,DGBIGWXXNGSACT-UHFFFAOYSA-N,2802,OK,1975.0,18,"Physicochemically, this scaffold is a masterclass in CNS design. With a MW ~315, cLogP ~2.5, and TPSA ~87, it sits in the absolute 'Goldilocks' zone for blood-brain barrier penetration, ensuring high free fraction in the brain (Kp,uu). The rigid tricyclic core minimizes the entropic penalty upon binding, maximizing LipE. HOWEVER, the presence of the aromatic Nitro group (-NO2) is a severe structural anachronism in modern medicinal chemistry. This moiety is a flashing red light for mutagenicity (Ames liability) and metabolic reduction to reactive anilines or hydroxylamines via nitroreductases. In a standard audit, this would be a 'Soft Kill'. However, integrating the Bio-Advisory's confirmation of extreme potency (sub-milligram dosing) fundamentally alters the risk profile. The low daily dose ensures that the absolute burden of any potential reactive metabolites remains below toxicological thresholds of concern (TTC). This is a rare case where 'Potency trumps Structural Hygiene', but the genotoxicity risk remains a critical gatekeeper. Tox Summary: Structural Alert (Nitro) - Manageable only at <5mg dose.",Medium,"Aromatic Nitro group (Reductive metabolism to aniline/hydroxylamine), 2-chlorophenyl (Lipophilic bulk, generally benign).",0.7,"The primary hurdle is the Ames test. Nitroaromatics carry a high probability of genotoxicity. If it clears genotox, the safety margin provided by the low dose is excellent.",0.65,The physicochemical properties guarantee target engagement in the CNS. Efficacy is highly probable given the validated scaffold.,0.6,"Chronic safety is the main variable. Long-term accumulation of reduced metabolites could be an issue, but the low dose likely mitigates organ toxicity.",0.68,ELITE,"This structure corresponds to Clonazepam, a high-potency nitro-benzodiazepine. From a systems biology perspective, this is the antithesis of a 'graveyard' target. The GABA-A receptor is a validated, high-confidence target. Crucially, the 7-nitro substituent dramatically increases potency, allowing for extremely low clinical dosing (0.5mg - 4mg range). A daily dose this low places negligible stress on hepatic clearance capacity, effectively nullifying the risk of intrinsic DILI, despite the potential metabolic liability of the nitro group reduction. The biological risks are exclusively on-target (sedation, dependence), which are clinical management issues, not fatal safety flaws."
Temazepam,,Benzodiazepine,"GABA-A receptor (_1_,_2_,_3_,_5_ subunits) PAM",Insomnia,Approved,1981,,,approved,CNS,,approved_control,Approved controls (success),CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,SEQDDYPDSLOBDC-UHFFFAOYSA-N,5391,OK,1981.0,15,"This NCE represents a textbook example of 'LipE-driven' optimization within a privileged scaffold. While the 1,4-benzodiazepine core is historically ubiquitous, the specific incorporation of the C3-hydroxyl group is a high-fidelity medicinal chemistry maneuver. Structurally, this modification achieves two critical objectives: 1) It modulates the cLogP to ~2.3, anchoring the molecule in the absolute center of the CNS MPO 'Goldilocks Zone' (MW ~300, TPSA ~60, HBD 1), ensuring optimal blood-brain barrier penetration without the 'Grease Tax' of non-polar analogs. 2) As noted in the Bio-Advisory, this -OH moiety acts as a 'metabolic shunt,' enabling direct Phase II glucuronidation. This elegantly bypasses the oxidative CYP450 liabilities (and associated DDI/genetic variability) typical of the lipophilic parent scaffold. The absence of a basic amine eliminates the classic hERG pharmacophore risk, and the dose projection (low mg range) removes DILI concerns related to the 'Rule of Two'. While the 'Historical Target Stigma' penalty (10 points) is applied due to class-wide abuse liability, the physicochemical and structural integrity of this molecule is undeniable. It is a 'Clean' drug candidate.",Medium (Ideal Phase II Clearance),None identified,0.92,"Pristine physicochemical profile. No structural alerts for hERG, MBI, or reactive metabolites. Low dose burden ensures high safety margin.",0.85,Target (GABA-A) is fully validated. CNS penetration is structurally guaranteed by MPO score. Efficacy risk is minimal.,0.65,"Commercial viability is high, but regulatory scheduling (abuse liability) and generic competition within the class cap the probability of blockbuster success.",0.51,ELITE,"This structure is Temazepam (Restoril), a 3-hydroxy benzodiazepine. From a systems biology and metabolic perspective, this is the 'Gold Standard' scaffold for this class. Unlike Diazepam or Flurazepam, the C3-hydroxyl group allows for direct Phase II glucuronidation, bypassing Phase I CYP450 oxidative metabolism. This eliminates the risk of active metabolite accumulation and makes the drug safe for patients with hepatic impairment or the elderly. The target (GABA-A) is fully validated with zero efficacy ambiguity. The dose burden (15-30mg) is well below the threshold for intrinsic DILI. While the class carries CNS depression and abuse liability, the biological feasibility is absolute."
Buspirone,,Anxiolytic,5-HT1A receptor partial agonist,Generalized anxiety disorder,Approved,1986,,,approved,CNS,,approved_control,Approved controls (success),C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,QWCRAEMEVRGPNT-UHFFFAOYSA-N,2477,OK,1986.0,92,"This molecule is a masterclass in 'Deceptive PhysChem'. On paper, the MW (~385) and cLogP (~2.5) are CNS royalty, fitting the MPO guidelines perfectly. However, the architecture is archaic and structurally incompetent. The central tetramethylene 'sausage linker' is a fatal liability: 1) It introduces excessive rotatable bonds (entropic penalty), 2) It creates a textbook hERG pharmacophore (Basic Amine + 4-Carbon Spacer + Lipophilic Imide), and 3) It serves as a pristine 'handle' for CYP3A4 oxidative dealkylation. The inevitable metabolic cleavage at the piperazine nitrogen will release a promiscuous arylpiperazine fragment (a known 'dirty' pharmacophore), likely driving off-target adrenergic toxicity. The bio-advisory confirms this is a 'pharmacokinetic nightmare' with <5% bioavailability. You are essentially dosing a metabolic substrate, not a drug. The 25-point historical penalty is applied, but the structure was already failing the audit on hERG and metabolic grounds alone. Tox Summary: Not Clean.",Low,"Arylpiperazine (promiscuous metabolite), Tetramethylene linker (oxidative cleavage site), Azaspiro-imide (hydrolytic/oxidative liability)",0.3,High risk of QT prolongation (hERG) due to the linker length and basic center. Metabolic cleavage yields active fragments that complicate safety tox.,0.15,Bioavailability < 5% ensures massive inter-patient variability. Achieving consistent receptor occupancy without Cmax-driven side effects will be impossible.,0.1,Commercial viability is near zero due to likely TID dosing requirements and 'soft' efficacy compared to standards of care.,0.0045,CAUTION,"This structure is Buspirone (or a close azapirone analog). While the 5-HT1A partial agonist mechanism is validated for anxiety, this specific scaffold is a pharmacokinetic nightmare. 1. Metabolic Liability: The azaspirodecane/pyrimidine linkage is a feast for CYP3A4. Buspirone suffers from extensive first-pass metabolism (bioavailability < 5%), forcing high/frequent dosing to achieve CNS occupancy. 2. Active Metabolite Risk: The cleavage product, 1-(2-pyrimidinyl)piperazine (1-PP), accumulates and acts as an alpha-2 antagonist, potentially dirtying the pharmacological profile. 3. Clinical Efficacy: 5-HT1A agonists historically struggle to beat placebo in GAD trials due to the 'soft' onset of action compared to benzodiazepines. You are fighting a massive placebo response with a molecule the liver is actively destroying."
Sibutramine,,Antiobesity,SERT and NET inhibition (SNRI),Obesity,Approved,1997,2010,Cardiovascular events,market_withdrawal,Metabolic,tox_safety,cardiotoxicity,Withdrawn / restricted for safety,CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C,UNAANXDKBXWMLN-UHFFFAOYSA-N,5210,OK,1997.0,98,"This scaffold is a forensic exhibit of 'Grease-Driven' pharmacology. The molecule combines a basic tertiary amine with excessive hydrophobic bulk (chlorophenyl, cyclobutane, and isobutyl moieties), resulting in a cLogP likely exceeding 5.0. This violates fundamental LipE guidelines, suggesting that potency is derived purely from non-specific hydrophobic interactions rather than specific binding. Structurally, the motif of a basic center flanked by heavy lipophilicity is a canonical hERG pharmacophore, flagging an immediate QT prolongation risk. Metabolically, the N,N-dimethyl group serves as a 'metabolic handle' for rapid CYP-mediated N-dealkylation, leading to a complex mixture of active metabolites that complicates the safety profile. Integrating the Bio-Advisory: The mechanism (SNRI) is chemically achieved but clinically fatal for the indication; driving sympathetic tone in an obese population is a guaranteed recipe for hypertension and cardiovascular events. This is not a drug; it is a cardiotoxin. Tox Summary: Not Clean.",Low,"Lipophilic Basic Amine (hERG Liability), N,N-dimethyl moiety (Rapid N-dealkylation/Metabolic instability), Chlorophenyl-Cyclobutane core (High Lipophilicity/Phospholipidosis risk)",15.0,"Immediate safety concerns regarding heart rate, blood pressure, and QT interval will likely cap dosing below the therapeutic threshold.",5.0,"While weight loss efficacy is probable, the 'Hard Kill' CV liabilities identified in the advisory will prevent progression against modern, safer GLP-1 competitors.",1.0,"Regulatory approval is impossible. A cardiovascular outcomes trial would almost certainly reveal increased morbidity (MI/Stroke), mirroring the historical failure of sympathomimetics in this space.",0.01,TERMINATE,"This structure is Sibutramine (Meridia/Reductil). This is not a candidate; it is a forensic case study in failure. The mechanism is Serotonin-Norepinephrine Reuptake Inhibition (SNRI). While effective for weight loss, the pharmacology is intrinsically flawed for this indication: the sympathetic activation required for efficacy drives hypertension and tachycardia. This molecule was withdrawn globally following the SCOUT trial, which demonstrated a 16% increase in the risk of non-fatal MI and stroke. In the current era of GLP-1 agonists (which demonstrate cardiovascular *benefit*), re-introducing a sympathomimetic agent with proven CV liability is a regulatory impossibility. The target class is a graveyard."
Terfenadine,,H1 Antihistamine,Histamine H1 receptor,Allergy,Approved,1985,1998,QT prolongation/torsades,market_withdrawal,Allergy,tox_safety,cardiotoxicity,Withdrawn / restricted for safety,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,GUGOEEXESWIERI-UHFFFAOYSA-N,5405,OK,1985.0,100,"This structure is a textbook example of a 'Cardiac Assassin' and triggers an immediate Hard Kill. Structurally, it perfectly maps to the hERG pharmacophore: a central basic nitrogen (piperidine) flanked by two massive hydrophobic domains (a diphenylmethane 'anchor' and a tert-butylphenyl 'tail') connected by a flexible methylene linker. This 'dumbbell' topology allows the molecule to span the hERG pore and lock it shut with high affinity. The physicochemical profile is atrocious; with a cLogP > 5.5, the affinity is driven almost entirely by the 'Grease Tax,' resulting in poor LipE and high tissue accumulation. The biological advisory confirms the fatal flaw: safety is contingent on the metabolic oxidation of the tert-butyl group. Relying on CYP3A4 to detoxify a potent hERG blocker is 'Metabolic Roulette'—a single drug-drug interaction (DDI) results in lethal arrhythmias. In a modern setting, this scaffold is non-developable. Tox Summary: Not Clean.",Variable (CYP3A4 Dependent),"Basic Piperidine-Linker-Aromatic motif (hERG Pharmacophore), High Lipophilicity (Phospholipidosis/Accumulation risk)",0.1,High risk of QT prolongation in SAD/MAD studies. Modern safety pharmacology screens would flag the hERG liability immediately.,0.05,"Even if it passes P1, the DDI liability (CYP inhibition causing parent accumulation) makes it unviable for a broad indication like allergy.",0.01,Commercial suicide. The risk of Torsades de Pointes in a general population is unacceptable.,0.05,TERMINATE,"This molecule is Terfenadine (Seldane). While the H1 target is validated, this specific scaffold is a historical lesson in cardiac toxicity. It acts as a potent hERG channel blocker in its parent form. It relies entirely on CYP3A4 metabolism to convert to the safe active metabolite (Fexofenadine). In the presence of CYP3A4 inhibitors (e.g., ketoconazole, erythromycin) or liver impairment, plasma levels of the parent compound spike, leading to QT prolongation and fatal Torsades de Pointes. Developing this is playing metabolic roulette with patient safety. It was withdrawn from the market for this exact reason."
Astemizole,,H1 Antihistamine,Histamine H1 receptor,Allergy,Approved,1988,1999,QT prolongation/torsades,market_withdrawal,Allergy,tox_safety,cardiotoxicity,Withdrawn / restricted for safety,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,GXDALQBWZGODGZ-UHFFFAOYSA-N,2247,OK,1988.0,96,"This molecule is a masterclass in how NOT to design a modern antihistamine. Structurally, it is a 'Grease Sandwich': a central basic piperidine nitrogen flanked by two massive lipophilic aromatic domains (a fluorobenzyl-benzimidazole and a methoxyphenethyl moiety). 

1. **The hERG Death Sentence**: This topology is the canonical definition of a hERG blocker (Redfern Class I). You have a basic center (pKa ~8.5) connected by flexible linkers to hydrophobic 'wings'. This will trap the drug in the hERG channel pore with high affinity. In an indication like allergy, where the therapeutic index must be infinite, this is a non-starter.

2. **Lipophilicity & DDI**: With a cLogP pushing >5.0 and a MW approaching 460, this molecule relies entirely on hydrophobic collapse for potency. This 'Grease Tax' ensures it will be a substrate for CYP450s (likely 3A4), creating a massive Drug-Drug Interaction (DDI) liability. If the metabolic clearance is blocked (e.g., by ketoconazole), plasma levels will spike, exacerbating the hERG risk.

3. **Metabolic Soft Spots**: The p-methoxy group is a prime site for O-demethylation, and the benzylic carbons are liable to oxidation. 

Salah's advisory is spot on: this is a 'Zombie' scaffold—dead on arrival due to cardiovascular toxicity risks that are unacceptable for a lifestyle drug. Tox Summary: NOT CLEAN (High hERG/QTc Risk).",Low,"Basic Piperidine flanked by lipophilic aromatics (hERG Pharmacophore), p-Anisole (O-demethylation/Quinone methide risk)",0.15,High risk of QTc prolongation in telemetry studies or early SAD/MAD cohorts. DDI potential will complicate dosing.,0.05,"Even if efficacy is shown, the safety margin compared to second-generation antihistamines (e.g., fexofenadine) will be nonexistent.",0.01,Regulatory agencies will not approve a QTc-prolonging agent for seasonal rhinitis. Commercial viability is zero.,0.05,TERMINATE,"While the H1 target is clinically validated, this specific chemical scaffold (piperidine-amino-benzimidazole linked to a phenethyl moiety) bears a lethal structural homology to Astemizole and Mizolastine. This pharmacophore is historically notorious for potent hERG channel blockade leading to QTc prolongation and Torsades de Pointes. In the allergy indication, where the safety bar is near-infinite (treating healthy, active patients), any cardiovascular liability is a non-starter. Furthermore, the lipophilic nature suggests CYP3A4 dependence for clearance, re-introducing the Terfenadine/Astemizole DDI risk profile. You are reinventing a withdrawn drug class."
Cisapride,,Prokinetic,5-HT4 receptor agonist,GI motility,Approved,1993,2000,QT prolongation/torsades,market_withdrawal,GI,tox_safety,cardiotoxicity,Withdrawn / restricted for safety,CO[C@H]1CN(CC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,DCSUBABJRXZOMT-IRLDBZIGSA-N,6917698,OK,1993.0,89,"This molecule is a 'Wolf in Sheep's Clothing.' While the bulk physicochemical properties (MW ~435, cLogP ~3.5) appear compliant, the specific topological arrangement is a textbook case of hERG liability. The central basic pyrrolidine nitrogen, linked via a flexible propyl ether spacer to a lipophilic fluorophenyl tail, maps perfectly onto the hERG pharmacophore (Basic Center + 3-4 atom spacer + Hydrophobic Cluster), guaranteeing significant QTc risk. Additionally, the TPSA (~76 Å²) indicates likely BBB penetration; for a GI prokinetic, this is a flaw, not a feature, introducing risks of EPS and CNS disturbances. The 'Orthopramide' warhead is chemically validated for potency but carries a heavy 'History Tax' regarding selectivity and safety. The Bio-Advisory penalty is fully justified: this scaffold is a regulatory lightning rod. High potency cannot offset the structural commitment to cardiovascular and CNS toxicity risks. Tox Summary: Not Clean.",Medium,"Primary Aniline (reactive metabolites), Chlorobenzene, hERG Pharmacophore (Basic N + 3-atom linker + Hydrophobic Tail)",0.15,High probability of QTc prolongation (hERG) and CNS side effects (EPS) leading to early termination or dose-capping below therapeutic windows. Hard Kill alert active.,0.4,"Efficacy is structurally guaranteed by the validated warhead, but safety signals (CV/CNS) will likely plague the study, preventing dose escalation.",0.05,"Even if approved, the label would likely carry Black Box warnings for arrhythmias, rendering it commercially non-viable against cleaner, fused-ring competitors.",0.03,CAUTION,"The target (5-HT4 receptor) is a validated mechanism for GI motility but represents a historical 'Clinical Graveyard' due to cardiovascular safety attrition. The molecule utilizes the 4-amino-5-chloro-2-methoxybenzamide ('orthopramide') scaffold, which is the exact warhead found in Cisapride (withdrawn for fatal arrhythmias/QTc) and Metoclopramide (CNS/EPS risks). While efficacy is virtually guaranteed, this scaffold is notoriously 'dirty,' often carrying hERG liability and 5-HT1B/2B off-target risks (ischemia). Modern approvals in this class (e.g., Prucalopride) specifically engineered away from this benzamide head to fused-ring systems to improve safety margins. Developing a molecule with this legacy scaffold invites immense regulatory scrutiny and a high probability of late-stage failure due to CV signals."
Benfluorex,,Metabolic agent,Indirect 5-HT2B receptor agonist (active metabolite),Metabolic syndrome,Approved,1976 (France),2009,Cardiac valvulopathy,market_withdrawal,Metabolic,tox_safety,cardiotoxicity,Withdrawn / restricted for safety,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2,CJAVTWRYCDNHSM-UHFFFAOYSA-N,2318,OK,1976.0,100,"This structure is a deceptive 'Trojan Horse' prodrug. Chemically, it presents as a benzoate ester linked to a substituted phenethylamine. The ester is metabolically labile, destined for rapid hydrolysis by plasma esterases, followed by oxidative N-dealkylation. This 'Mental Metabolism' reveals the true payload: a 3-trifluoromethyl-amphetamine analog (Norfenfluramine). While the parent molecule has high lipophilicity (cLogP > 4) and CNS-penetrant properties (TPSA < 40), the liberated amine is a confirmed 5-HT2B agonist. As highlighted in the Bio-Advisory, this specific pharmacophore drives cardiac valvular fibrosis. The molecule is not a therapeutic; it is a metabolic delivery system for a cardiotoxin. The structural logic fails due to the intrinsic toxicity of the core scaffold. Tox Summary: NOT CLEAN (Cardiotoxic Metabolite).",Low,"Benzoate ester (labile prodrug moiety), 3-trifluoromethylphenethylamine core (5-HT2B agonist/Valvulopathogen)",0.05,Immediate termination due to Bio-Advisory. 5-HT2B agonism is a hard stop for safety.,0.0,Zero probability of progression due to confirmed valvular heart disease risk.,0.0,Historical withdrawal confirms lack of commercial viability.,0.0,TERMINATE,"This structure corresponds to Benfluorex (Mediator), a prodrug that is metabolized by the liver into Norfenfluramine. While the indication is metabolic (diabetes/weight loss), the biological mechanism is a catastrophe. The active metabolite is a potent 5-HT2B receptor agonist. Chronic stimulation of 5-HT2B on cardiac valvular interstitial cells drives mitogenesis and fibrosis, leading to fatal valvular heart disease and pulmonary arterial hypertension. This is not a risk; it is a historical certainty responsible for thousands of deaths and a global market withdrawal. The liver burden here is not DILI, but the metabolic activation of a cardiotoxin."
Clobutinol,,Antitussive,_ (Sigma) receptors and hERG (cause of withdrawal),Cough,Approved,1958 (Gerrmany),2007,QT prolongation/torsades,market_withdrawal,Respiratory,tox_safety,cardiotoxicity,Withdrawn / restricted for safety,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O,KVHHQGIIZCJATJ-UHFFFAOYSA-N,26937,OK,1958.0,98,"This structure is a medicinal chemistry fossil that belongs in a museum of safety failures, not a pipeline. Structurally, it is a 'Grease-Ball' CNS agent: a low MW (<300), lipophilic tertiary amine linked to a chlorophenyl tail. 

1. **hERG Liability (The Kill Shot)**: The pharmacophore is undeniable. You have a basic nitrogen (pKa ~9.5) separated by a flexible linker from a lipophilic aromatic moiety (4-chlorophenyl). This spatial arrangement allows the molecule to dock perfectly into the hERG K+ channel pore, trapping the ion and prolonging the QT interval. The Bio-Advisory confirms this is not theoretical; it is a proven clinical killer.

2. **Physicochemical Profile**: While the MW and cLogP suggest excellent BBB penetration (essential for an antitussive), the lack of polar surface area (TPSA < 40) and the high basicity creates a 'dirty' promiscuity profile. It likely hits muscarinic receptors, histamine receptors, and various transporters off-target.

3. **Metabolic Liability**: The N,N-dimethyl group is a prime target for rapid N-demethylation, leading to variable exposure. 

In summary, this is a textbook example of 'Old World' MedChem where potency trumped safety. In the modern ICH S7B/E14 era, this molecule is undevelopable. The Bio-Advisory penalty is fully applied.",Low,"hERG Pharmacophore (Basic Amine + Linker + Lipophilic Tail), Chlorobenzene (potential environmental/accumulation concerns, though less relevant for acute tox than the hERG)",0.05,Bio-Advisory confirms withdrawal. hERG liability is catastrophic. Phase 1 safety signals (QTc prolongation) would halt progression immediately.,0.0,Terminated. No efficacy trial can justify the cardiac risk for a non-life-threatening indication like cough.,0.0,Withdrawn from market. Commercial viability is zero.,0.01,TERMINATE,"You have presented Clobutinol. This is not a prediction; this is an autopsy. This molecule was voluntarily withdrawn from the global market in 2007 by Boehringer Ingelheim. The biological failure mode is classic and unforgiving: QT interval prolongation leading to Torsades de Pointes. The tertiary amine coupled with the lipophilic chlorophenyl tail creates a textbook hERG pharmacophore. While the liver might survive the metabolic load, the patient's cardiac rhythm will not. In the modern regulatory environment (ICH E14), a non-life-saving antitussive with this hERG liability is dead on arrival."
